10.018	7.081	9.934	6.916	10.211	9.028	1.957	7.083	1.634
10.015	7.151	9.964	7.036	10.265	8.974	1.996	7.111	1.659
10.044	7.27	9.963	7.064	10.247	9.039	2.02	7.08	1.673
10.064	7.341	9.979	7.001	10.224	9.006	1.804	7.1	1.7
10.086	7.38	9.978	7.005	10.145	9.023	1.721	7.136	1.744
10.092	7.372	9.995	6.942	10.168	9.059	1.628	7.16	1.766
10.067	7.421	10.023	6.959	10.083	9.114	1.655	7.108	1.815
10.032	7.446	10.078	6.945	10.068	9.066	1.764	7.131	1.888
9.995	7.476	10.086	6.924	10.16	9.145	1.738	7.125	1.891
10.013	7.507	10.075	6.775	9.942	9.149	1.801	7.146	1.876
9.996	7.535	10.112	6.735	9.957	9.168	1.721	7.19	1.947
9.959	7.556	10.122	6.64	10.003	9.217	1.768	7.209	1.939
9.953	7.585	10.159	6.722	10.101	9.159	1.806	7.263	1.979
9.909	7.605	10.17	6.721	10.124	9.132	1.824	7.265	2.039
9.879	7.63	10.214	6.73	10.166	9.215	1.808	7.279	1.966
9.897	7.661	10.254	6.758	10.209	9.132	1.84	7.286	2.018
9.92	7.696	10.285	6.748	10.278	9.233	2.005	7.34	2.068
9.915	7.716	10.288	6.75	10.303	9.196	2.038	7.38	2.124
9.95	7.757	10.306	6.749	10.345	9.256	2.092	7.414	2.138
9.967	7.791	10.31	6.765	10.284	9.243	2.11	7.459	2.073
9.975	7.806	10.369	6.782	10.265	9.24	2.167	7.494	2.129
9.986	7.819	10.341	6.808	10.288	9.289	2.208	7.53	2.036
10.017	7.84	10.315	6.84	10.317	9.309	2.252	7.537	2.099
10.069	7.861	10.319	6.856	10.299	9.352	2.291	7.585	2.141
10.104	7.887	10.352	6.914	10.334	9.383	2.435	7.635	2.214
10.141	7.934	10.386	6.96	10.345	9.388	2.497	7.664	2.272
10.146	7.984	10.419	6.998	10.371	9.454	2.566	7.708	2.318
10.176	8.033	10.453	7.022	10.384	9.464	2.644	7.76	2.355
