4.196	3.61	-1.843	4.642	4.601	3.46	4.13	3.528	0.815
4.377	3.373	-0.827	4.97	3.991	3.668	4.589	3.823	1.358
4.531	3.459	-0.733	5.041	3.893	3.616	4.029	4.009	1.564
4.284	3.84	-0.056	5.056	3.794	3.832	5.031	4.087	1.523
4.116	3.891	1.625	5.183	3.572	3.972	5.037	4.075	2.166
4.045	3.654	2.809	4.983	3.62	4.187	5.493	3.96	2.447
4.083	3.378	3.789	4.973	3.506	4.428	4.715	4.128	2.637
4.394	3.714	4.155	4.67	3.506	4.447	5.069	4.423	3.071
4.315	3.732	4.017	4.689	4.6	4.21	5.908	4.517	3.43
4.447	3.785	4.55	4.725	4.746	4.248	6.536	4.504	4.358
4.605	4.605	4.605	4.605	4.605	4.605	4.605	4.605	4.605
6.603	5.233	4.744	4.41	4.48	4.634	4.706	4.587	4.916
6.821	5.679	5.066	4.99	5.49	4.683	8.322	4.535	5.463
6.667	5.594	5.265	5.173	5.292	4.65	8.289	4.468	5.884
7.254	5.151	5.539	5.193	5.684	4.554	9.215	4.8	6.753
7.323	5.005	4.686	5.439	5.202	4.539	11.057	4.795	7.409
7.203	4.948	4.625	5.587	5.098	4.64	11.352	4.888	8.029
7.426	5.102	4.717	5.623	5.271	4.581	12.196	4.93	8.805
7.429	4.991	4.391	5.479	5.229	4.635	12.906	4.995	9.572
7.246	4.933	4.538	5.537	5.116	4.606	13.079	5.081	9.863
7.354	4.811	4.302	5.564	4.995	4.783	13.037	5.259	10.255
7.201	4.947	4.53	5.625	4.911	5.245	13.165	5.448	10.42
7.685	5.046	4.431	5.665	4.672	5.083	13.441	5.569	10.249
8.133	5.313	4.407	5.667	6.621	5.159	13.637	5.62	9.255
8.387	5.472	4.897	5.7	6.554	5.227	13.741	5.712	9.288
8.212	5.79	5.054	5.747	6.51	5.299	13.341	5.716	9.273
7.942	5.824	5.135	5.867	6.434	5.452	13.353	5.812	9.588
8.154	6.151	5.134	6.01	6.742	5.579	13.662	5.892	9.567
