1.534	-4.807	-4.519	-4.171	2.834	-3.364	1.135	-4.163	-4.595
1.441	-3.028	-2.143	-4.233	3.01	-2.659	1.442	-3.315	-2.799
1.948	-2.812	-1.943	-3.424	2.639	-3.021	2.546	-2.869	-2.094
2.222	-2.371	-1.619	-2.581	2.288	-2.189	2.307	-2.838	-2.186
2.451	-2.203	-0.999	-1.817	1.989	-2.436	2.195	-2.586	-1.723
2.606	-2.097	-1.824	-1.093	2.161	-2.357	3.055	-1.895	-1.601
2.761	-1.664	-1.606	-1.453	2.184	-2.565	2.544	-1.349	-1.164
2.928	-1.401	-1.071	-0.289	2.158	-2.158	1.563	-0.909	-1.071
2.947	-1.123	-1.143	0.576	1.834	-2.281	1.464	-0.745	-1.228
2.351	-0.746	-0.731	0.748	1.247	-1.829	0.441	0.859	-1.405
1.699	-0.4	-0.629	-0.047	0.978	-1.51	0.886	0.367	-1.833
0.652	-0.12	-0.894	0.711	0.512	-1.073	0.873	0.632	-0.975
-0.572	0.29	-0.381	0.05	0.092	-0.193	1.146	0.38	-0.709
-0.392	0.553	0.194	0.006	0.093	0.318	0.982	0.232	-0.814
-0.946	0.85	0.216	0.101	-0.504	0.426	0.055	0.232	0.152
-1.827	0.872	0.063	0.118	-0.899	0.853	-1.88	0.055	0.702
-2.302	0.975	0.343	0.044	-0.922	0.475	-2.598	-0.764	1.417
-2.391	0.894	0.558	0.055	-1.344	2.105	-3.168	-0.29	1.831
-1.851	0.692	0.841	0.027	-1.365	1.24	-3.494	-0.37	0.867
-1.854	0.902	1.127	0.669	-1.51	1.695	-3.619	0.12	1.928
-2.364	1.094	1.049	0.867	-1.744	2.174	-3.002	1.824	1.65
-1.599	1.508	1.623	1.338	-2	2.081	-2.361	1.998	2.923
-1.142	1.715	1.764	1.331	-1.839	1.966	-1.704	2.438	2.424
-1.27	2.115	1.874	1.358	-1.591	2.152	-1.172	2.308	1.757
-1.281	2.7	2.183	1.623	-2.573	2.111	-0.814	2.537	1.796
-2.162	2.574	2.543	2.739	-2.207	2.73	0.03	2.758	1.898
-1.988	2.574	2.478	3.236	-2.847	3.324	0.56	2.607	2.299
-1.597	2.465	2.644	3.509	-2.673	3.984	0.587	2.749	2.553
